"Scientific Name","Common Name","Where Listed","ESA Listing Status  ","Lead Region  ","Listing Date","Most Recently Completed 5YSR","5YSR Recommendation","Notice of In Progress 5YSR","Notice Date of In Progress 5YSR","Group"
"Senecio layneae","Butterweed, Layne's","<div>Wherever found</div>","T","8","1996","2019/05/02","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Plethodon nettingi","Salamander, Cheat Mountain","<div>Wherever found</div>","T","5","1989","2010/08/12","No change in Status","Initiation of 5- Year Reviews of Eight Northeastern Species; request for information","2021/11/08","Amphibians"
"Aeschynomene virginica","Joint-vetch, Sensitive","<div>Wherever found</div>","T","5","1992","2013/09/25","No change in Status","Initiation of 5- Year Reviews of Eight Northeastern Species; request for information","2021/11/08","Flowering Plants"
"Notropis albizonatus","Shiner, palezone","<div>Wherever found</div>","E","4","1993","2020/10/20","No change in Status","No Five Year Review In Progress","","Fishes"
"Calidris canutus rufa","Knot, red","<div>Wherever found</div>","T","5","2015","2021/12/06","No change in Status","No Five Year Review In Progress","","Birds"
"Gila nigrescens","Chub, Chihuahua","<div>Wherever found</div>","T","2","1983","2010/01/13","Uplist to E","Initiation of 5- Year Status Reviews of 23 Species in the Southwest; request for information","2021/05/05","Fishes"
"Eriodictyon capitatum","Yerba santa, Lompoc","<div>Wherever found</div>","E","8","2000","2021/11/09","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Deinandra increscens ssp. villosa","Tarplant, Gaviota","<div>Wherever found</div>","E","8","2000","2022/09/01","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Branchinecta sandiegonensis","Fairy shrimp, San Diego","<div>Wherever found</div>","E","8","1997","2021/08/31","No change in Status","No Five Year Review In Progress","","Crustaceans"
"Megalagrion leptodemas","Damselfly, crimson Hawaiian","<div>Wherever found</div>","E","1","2012","2019/08/05","No change in Status","<a target='_blank' href='https://www.govinfo.gov/link/fr/86/33726'>Initiation of 5-Year Status Reviews for 77 Species in Oregon Washington Idaho and Hawaii; request for information</a","2021/06/25","Insects"
"Cycas micronesica","Fadang","<div>Wherever found</div>","T","1","2015","2020/08/19","No change in Status","<a target='_blank' href='https://www.govinfo.gov/link/fr/87/28031'>Initiation of 5- Year Status Reviews for 167 Species in Oregon Washington Idaho  Montana California Hawaii Guam and the Northern Mariana Islands: Request for Information</a","2022/05/10","Conifers and Cycads"
"Cynomys parvidens","Prairie dog, Utah","<div>Wherever found</div>","T","6","1973","2021/06/14","No change in Status","No Five Year Review In Progress","","Mammals"
"Epioblasma brevidens","Combshell, Cumberlandian","<div>Wherever found; Except where listed as Experimental Populations</div>","E","4","1997","2019/11/05","No change in Status","No Five Year Review In Progress","","Clams"
"Quadrula cylindrica cylindrica","Rabbitsfoot","<div>Wherever found</div>","T","4","2013","2020/06/17","No change in Status","No Five Year Review In Progress","","Clams"
"Medionidus parvulus","Moccasinshell, Coosa","<div>Wherever found</div>","E","4","1993","2019/09/23","No change in Status","No Five Year Review In Progress","","Clams"
"Hesperomannia arborescens","No common name","<div>Wherever found</div>","E","1","1994","2022/08/12","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Lycaeides argyrognomon lotis","Butterfly, lotis blue","<div>Wherever found</div>","E","8","1976","2020/08/12","No change in Status","No Five Year Review In Progress","","Insects"
"Agalinis acuta","Gerardia, sandplain","<div>Wherever found</div>","E","5","1988","2019/06/19","Delist: The listed entity does not meet the statutory definition of a species","No Five Year Review In Progress","","Flowering Plants"
"Hibiscadelphus woodii","Hau kuahiwi","<div>Wherever found</div>","E","1","1996","2022/08/05","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Medionidus simpsonianus","Moccasinshell, Ochlockonee","<div>Wherever found</div>","E","4","1998","2020/08/28","No change in Status","No Five Year Review In Progress","","Clams"
"Flueggea neowawraea","Mehamehame","<div>Wherever found</div>","E","1","1994","2021/08/31","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Spiranthes delitescens","ladies'-tresses, Canelo Hills","<div>Wherever found</div>","E","2","1997","2021/07/13","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Cyanea platyphylla","`aku`aku","<div>Wherever found</div>","E","1","1996","2020/03/02","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Canis lupus","Wolf, gray","<div>U.S.A.: All of AL, AR, CA, CO, CT, DE, FL, GA, IA, IN, IL, KS, KY, LA, MA, MD, ME, MI, MO, MS, NC, ND, NE, NH, NJ, NV, NY, OH, OK, PA, RI, SC, SD, TN, TX, VA, VT, WI, and WV; and portions of AZ, NM, OR, UT, and WA. Mexico.</div>","E","6","1978","2020/11/03","Delist: The species does not meet the definition of an endangered species or a threatened species","No Five Year Review In Progress","","Mammals"
"Euphorbia kuwaleana","`Akoko","<div>Wherever found</div>","E","1","1991","2019/09/26","No change in Status","<a target='_blank' href='https://www.govinfo.gov/link/fr/87/28031'>Initiation of 5- Year Status Reviews for 167 Species in Oregon Washington Idaho  Montana California Hawaii Guam and the Northern Mariana Islands: Request for Information</a","2022/05/10","Flowering Plants"
"Cranichis ricartii","No common name","<div>Wherever found</div>","E","4","1991","2022/04/29","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Epioblasma penita","Combshell, southern","<div>Wherever found</div>","E","4","1987","2021/08/26","No change in Status","No Five Year Review In Progress","","Clams"
"Pseudemys rubriventris bangsi","Turtle, Plymouth Redbelly","<div>Wherever found</div>","E","5","1980","2022/03/25","Downlist to T","No Five Year Review In Progress","","Reptiles"
"Leptocereus grantianus","No common name","<div>Wherever found</div>","E","4","1993","2021/12/03","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Cyanea asarifolia","Haha","<div>Wherever found</div>","E","1","1994","2022/07/27","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Myrsine knudsenii","Kolea","<div>Wherever found</div>","E","1","2010","2022/08/08","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Poa siphonoglossa","No common name","<div>Wherever found</div>","E","1","1992","2022/08/08","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Hibiscus arnottianus ssp. immaculatus","Koki`o ke`oke`o","<div>Wherever found</div>","E","1","1992","2018/10/23","No change in Status","<a target='_blank' href='https://www.govinfo.gov/link/fr/86/33726'>Initiation of 5-Year Status Reviews for 77 Species in Oregon Washington Idaho and Hawaii; request for information</a","2021/06/25","Flowering Plants"
"Peromyscus gossypinus allapaticola","Mouse, Key Largo cotton","<div>Wherever found</div>","E","4","1983","2021/04/02","No change in Status","No Five Year Review In Progress","","Mammals"
"Pritchardia remota","loulu","<div>Wherever found</div>","E","1","1996","2021/09/23","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Clermontia peleana","`Oha wai","<div>Wherever found</div>","E","1","1994","2020/09/28","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Branchinecta conservatio","Fairy shrimp, Conservancy","<div>Wherever found</div>","E","8","1994","2012/06/29","No change in Status","Initiation of 5-Year Status Reviews of 76 Species in California and Nevada; request for information","2021/05/20","Crustaceans"
"Cicurina baronia","Meshweaver, Robber Baron Cave","<div>Wherever found</div>","E","2","2000","2020/09/09","No change in Status","No Five Year Review In Progress","","Arachnids"
"Partulina semicarinata","Snail, Lanai tree","<div>Wherever found</div>","E","1","2013","2020/08/07","No change in Status","<a target='_blank' href='https://www.govinfo.gov/link/fr/87/28031'>Initiation of 5- Year Status Reviews for 167 Species in Oregon Washington Idaho  Montana California Hawaii Guam and the Northern Mariana Islands: Request for Information</a","2022/05/10","Snails"
"Banara vanderbiltii","Palo de ramon","<div>Wherever found</div>","E","4","1987","2020/03/10","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Cyanea profuga","Haha","<div>Wherever found</div>","E","1","2013","2020/08/19","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Manihot walkerae","Manioc, Walker's","<div>Wherever found</div>","E","2","1991","2009/06/04","No change in Status","Endangered and Threatened Species: Initiation of 5-Year Status Reviews of 35 Species in the Southwest","2022/02/02","Flowering Plants"
"Paronychia chartacea","Whitlow-wort, papery","<div></div>","T","4","1987","2021/06/30","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Dicerandra immaculata","Mint, Lakela's","<div></div>","E","4","1985","2021/03/30","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Dudleya abramsii ssp. parva","Dudleya, Conejo","<div>Wherever found</div>","T","8","1997","2023/03/09","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Cordylanthus mollis ssp. mollis","Bird's-beak, soft","<div>Wherever found</div>","E","8","1997","2009/02/11","No change in Status","Initiation of 5-Year Status Reviews of 76 Species in California and Nevada; request for information","2021/05/20","Flowering Plants"
"Deeringothamnus pulchellus","Pawpaw, beautiful","<div></div>","E","4","1986","2021/11/03","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Oncorhynchus aguabonita whitei","Trout, Little Kern golden","<div>Wherever found</div>","T","8","1978","2011/09/08","No change in Status","Initiation of 5-Year Status Reviews of 76 Species in California and Nevada; request for information","2021/05/20","Fishes"
"Mimulus michiganensis","monkey-flower, Michigan","<div>Wherever found</div>","E","3","1990","2018/09/24","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Adenophorus periens","Fern, pendant kihi","<div>Wherever found</div>","E","1","1994","2021/08/31","No change in Status","No Five Year Review In Progress","","Ferns and Allies"
"Lupinus nipomensis","Lupine, Nipomo Mesa","<div>Wherever found</div>","E","8","2000","2019/06/06","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Melicope christophersenii","Alani","<div>Wherever found</div>","E","1","2012","2019/08/30","No change in Status","<a target='_blank' href='https://www.govinfo.gov/link/fr/87/28031'>Initiation of 5- Year Status Reviews for 167 Species in Oregon Washington Idaho  Montana California Hawaii Guam and the Northern Mariana Islands: Request for Information</a","2022/05/10","Flowering Plants"
"Physaria obcordata","Twinpod, Dudley Bluffs","<div>Wherever found</div>","T","6","1990","2020/06/12","No change in Status","Endangered and Threatened Wildlife and Plants; Initiation of 5-Year Status Reviews of 27 Listed Species in the Mountain-Prairie Region","2023/03/13","Flowering Plants"
"Kadua degeneri","No common name","<div>Wherever found</div>","E","1","1991","2019/09/30","No change in Status","<a target='_blank' href='https://www.govinfo.gov/link/fr/87/28031'>Initiation of 5- Year Status Reviews for 167 Species in Oregon Washington Idaho  Montana California Hawaii Guam and the Northern Mariana Islands: Request for Information</a","2022/05/10","Flowering Plants"
"Hemignathus wilsoni","akiapolaau","<div>Wherever found</div>","E","1","1967","2020/08/07","No change in Status","No Five Year Review In Progress","","Birds"
"Castilleja cinerea","Paintbrush, ash-grey","<div>Wherever found</div>","T","8","1998","2021/08/18","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Gila robusta jordani","Chub, Pahranagat roundtail","<div>Wherever found</div>","E","8","1970","2022/10/28","No change in Status","No Five Year Review In Progress","","Fishes"
"Chamaesyce deltoidea ssp. deltoidea","Spurge, deltoid","<div></div>","E","4","1985","2010/06/15","No change in Status","5-Year Status Reviews of 22 Southeastern Species","2017/06/30","Flowering Plants"
"Schiedea helleri","No common name","<div>Wherever found</div>","E","1","1996","2022/08/09","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Malacothamnus fasciculatus var. nesioticus","Bush-mallow, Santa Cruz Island","<div>Wherever found</div>","E","8","1997","2021/01/20","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Thalictrum cooleyi","Meadowrue, Cooley's","<div>Wherever found</div>","E","4","1989","2020/04/13","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Percina aurolineata","Darter, goldline","<div>Wherever found</div>","T","4","1992","2021/06/22","No change in Status","No Five Year Review In Progress","","Fishes"
"Eriastrum densifolium ssp. sanctorum","Woolly-star, Santa Ana River","<div>Wherever found</div>","E","8","1987","2010/10/29","No change in Status","Initiation of 5-Year Status Reviews of 76 Species in California and Nevada; request for information","2021/05/20","Flowering Plants"
"Dipodomys ingens","Kangaroo rat, giant","<div>Wherever found</div>","E","8","1987","2020/09/11","No change in Status","No Five Year Review In Progress","","Mammals"
"Sagittaria secundifolia","Water-plantain, Kral's","<div>Wherever found</div>","T","4","1990","2020/08/12","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Pleurobema plenum","Pigtoe, rough","<div>Wherever found</div>","E","4","1976","2021/05/10","No change in Status","No Five Year Review In Progress","","Clams"
"Lepidium orbiculare","No common name","<div>Wherever found</div>","E","1","2016","2020/08/26","No change in Status","<a target='_blank' href='https://www.govinfo.gov/link/fr/87/28031'>Initiation of 5- Year Status Reviews for 167 Species in Oregon Washington Idaho  Montana California Hawaii Guam and the Northern Mariana Islands: Request for Information</a","2022/05/10","Flowering Plants"
"Pseudocopaeodes eunus obscurus","Skipper, Carson wandering","<div>Wherever found</div>","E","8","2001","2022/08/17","No change in Status","No Five Year Review In Progress","","Insects"
"Puffinus auricularis newelli","Shearwater, Newell's Townsend's","<div>Wherever found</div>","T","1","1975","2017/11/01","Uplist to E","<a target='_blank' href='https://www.govinfo.gov/link/fr/86/33726'>Initiation of 5-Year Status Reviews for 77 Species in Oregon Washington Idaho and Hawaii; request for information</a","2021/06/25","Birds"
"Schiedea verticillata","No common name","<div>Wherever found</div>","E","1","1996","2021/09/16","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Phyllostegia bracteata","No common name","<div>Wherever found</div>","E","1","2013","2020/08/19","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Lesquerella perforata","Bladderpod, Spring Creek","<div>Wherever found</div>","E","4","1996","2019/09/23","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Crescentia portoricensis","Higuero de sierra","<div>Wherever found</div>","E","4","1987","2022/03/14","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Euphorbia deppeana","`Akoko","<div>Wherever found</div>","E","1","1994","2019/09/26","No change in Status","<a target='_blank' href='https://www.govinfo.gov/link/fr/87/28031'>Initiation of 5- Year Status Reviews for 167 Species in Oregon Washington Idaho  Montana California Hawaii Guam and the Northern Mariana Islands: Request for Information</a","2022/05/10","Flowering Plants"
"Cyprinodon macularius","Pupfish, desert","<div>Wherever found</div>","E","2","1986","2010/09/30","No change in Status","Endangered and Threatened Species: Initiation of 5-Year Status Reviews of 35 Species in the Southwest","2022/02/02","Fishes"
"Asplenium dielpallidum","No common name","<div>Wherever found</div>","E","1","1994","2022/07/27","No change in Status","No Five Year Review In Progress","","Ferns and Allies"
"Echinocereus viridiflorus var. davisii","Pitaya, Davis' green","<div>Wherever found</div>","E","2","1979","2020/09/02","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Schiedea jacobii","No common name","<div>Wherever found</div>","E","1","2013","2020/09/30","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Varronia rupicola","No common name","<div>Wherever found</div>","T","4","2014","2021/09/27","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Schiedea spergulina var. leiopoda","No common name","<div>Wherever found</div>","E","1","1994","2022/08/10","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Schoenocrambe barnebyi","Reed-mustard, Barneby","<div>Wherever found</div>","E","6","1992","2021/07/22","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Astragalus phoenix","Milk-vetch, Ash meadows","<div>Wherever found</div>","T","8","1985","2020/09/30","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Thamnophis sirtalis tetrataenia","Snake, San Francisco garter","<div>Wherever found</div>","E","8","1967","2020/05/21","No change in Status","No Five Year Review In Progress","","Reptiles"
"Mycteria americana","Stork, wood","<div>AL, FL, GA, MS, NC, SC</div>","T","4","1984","2023/02/15","Delist: The species does not meet the definition of an endangered species or a threatened species","Removal of the Southeast U.S. Distinct Population Segment of the Wood Stork From the List of Endangered and Threatened Wildlife","2023/02/15","Birds"
"Trifolium trichocalyx","Clover, Monterey","<div>Wherever found</div>","E","8","1998","2020/07/01","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Branta (=Nesochen) sandvicensis","Goose, Hawaiian","<div>Wherever found</div>","T","1","1967","2019/12/19","Downlist to T","<a target='_blank' href='https://www.govinfo.gov/link/fr/87/28031'>Initiation of 5- Year Status Reviews for 167 Species in Oregon Washington Idaho  Montana California Hawaii Guam and the Northern Mariana Islands: Request for Information</a","2022/05/10","Birds"
"Cyrtandra tintinnabula","Ha`iwale","<div>Wherever found</div>","E","1","1994","2020/09/29","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Gambelia silus","Lizard, blunt-nosed leopard","<div>Wherever found</div>","E","8","1967","2020/07/15","No change in Status","No Five Year Review In Progress","","Reptiles"
"Euphilotes enoptes smithi","Butterfly, Smith's blue","<div>Wherever found</div>","E","8","1976","2020/09/03","No change in Status","No Five Year Review In Progress","","Insects"
"Lessingia germanorum (=L.g. var. germanorum)","Lessingia, San Francisco","<div>Wherever found</div>","E","8","1997","2012/06/20","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Syncaris pacifica","Shrimp, California freshwater","<div>Wherever found</div>","E","8","1988","2022/08/31","No change in Status","No Five Year Review In Progress","","Crustaceans"
"Calochortus tiburonensis","Mariposa lily, Tiburon","<div>Wherever found</div>","T","8","1995","2022/08/22","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Cyperus neokunthianus","No common name","<div>Wherever found</div>","E","1","2016","2021/08/18","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Ellipsoptera puritana","Tiger beetle, Puritan","<div>Wherever found</div>","T","5","1990","2019/07/24","No change in Status","No Five Year Review In Progress","","Insects"
"Etheostoma akatulo","darter, bluemask","<div>Wherever found</div>","E","4","1993","2020/08/05","No change in Status","No Five Year Review In Progress","","Fishes"
"Masticophis lateralis euryxanthus","Whipsnake (=striped racer), Alameda","<div>Wherever found</div>","T","8","1997","2020/07/08","No change in Status","No Five Year Review In Progress","","Reptiles"
"Epicrates monensis monensis","Boa, Mona","<div>Wherever found</div>","T","4","1978","2020/10/27","No change in Status","No Five Year Review In Progress","","Reptiles"
"Phyllostegia helleri","No common name","<div></div>","E","1","2016","2020/08/26","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Assiminea pecos","Snail, Pecos assiminea","<div>Wherever found</div>","E","2","2005","2020/05/05","No change in Status","No Five Year Review In Progress","","Snails"
"Sanicula sandwicensis","No common name","<div>Wherever found</div>","E","1","2016","2021/08/18","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Noturus baileyi","Madtom, smoky","<div>Wherever found</div>","E","4","1984","2020/06/15","No change in Status","No Five Year Review In Progress","","Fishes"
"Neotoma fuscipes riparia","Woodrat, riparian (=San Joaquin Valley)","<div>Wherever found</div>","E","8","2000","2020/07/08","No change in Status","No Five Year Review In Progress","","Mammals"
"Schiedea haleakalensis","No common name","<div>Wherever found</div>","E","1","1992","2018/10/23","No change in Status","<a target='_blank' href='https://www.govinfo.gov/link/fr/86/33726'>Initiation of 5-Year Status Reviews for 77 Species in Oregon Washington Idaho and Hawaii; request for information</a","2021/06/25","Flowering Plants"
"Texamaurops reddelli","Beetle, Kretschmarr Cave mold","<div>Wherever found</div>","E","2","1988","2018/07/06","No change in Status","No Five Year Review In Progress","","Insects"
"Etheostoma fonticola","Darter, fountain","<div>Wherever found</div>","E","2","1970","2021/03/30","No change in Status","No Five Year Review In Progress","","Fishes"
"Psychotria grandiflora","Kopiko","<div>Wherever found</div>","E","1","2010","2022/08/08","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Myadestes lanaiensis rutha","Thrush, Molokai","<div>Wherever found</div>","E","1","1970","2018/06/25","No change in Status","<a target='_blank' href='https://www.govinfo.gov/link/fr/86/33726'>Initiation of 5-Year Status Reviews for 77 Species in Oregon Washington Idaho and Hawaii; request for information</a","2021/06/25","Birds"
"Conradina etonia","Rosemary, Etonia","<div></div>","E","4","1993","2019/09/30","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Streptanthus niger","Jewelflower, Tiburon","<div>Wherever found</div>","E","8","1995","2022/08/22","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Desmocerus californicus dimorphus","Beetle, valley elderberry longhorn","<div>Wherever found</div>","T","8","1980","2014/09/17","No change in Status","Initiation of 5-Year Status Reviews of 66 Species in California and Nevada; request for information","2020/02/10","Insects"
"Vireo bellii pusillus","Vireo, least Bell's","<div>Wherever found</div>","E","8","1986","2006/09/26","Downlist to T","Initiation of 5-Year Status Reviews of 76 Species in California and Nevada; request for information","2021/05/20","Birds"
"Viola kauaiensis var. wahiawaensis","Nani wai`ale`ale","<div>Wherever found</div>","E","1","1996","2022/08/10","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Clarkia imbricata","Clarkia, Vine Hill","<div>Wherever found</div>","E","8","1997","2019/05/02","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Amaranthus pumilus","Amaranth, seabeach","<div>Wherever found</div>","T","4","1993","2018/06/04","No change in Status","Initiation of 5- Year Status Reviews for 35 Southeastern Species; Request for Information","2022/05/13","Flowering Plants"
"Oncorhynchus gilae","Trout, Gila","<div>Wherever found</div>","T","2","1967","2020/09/16","No change in Status","No Five Year Review In Progress","","Fishes"
"Oncorhynchus clarkii stomias","trout, Greenback Cutthroat","<div>Wherever found</div>","T","6","1967","2018/10/12","No change in Status","Endangered and Threatened Wildlife and Plants; Initiation of 5-Year Status Reviews of Five Listed Species in the Mountain-Prairie Region","2022/08/05","Fishes"
"Cirsium fontinale var. obispoense","Thistle, Chorro Creek bog","<div>Wherever found</div>","E","8","1994","2022/07/18","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Kadua cordata remyi","kopa","<div>Wherever found</div>","E","1","1999","2018/10/23","No change in Status","<a target='_blank' href='https://www.govinfo.gov/link/fr/86/33726'>Initiation of 5-Year Status Reviews for 77 Species in Oregon Washington Idaho and Hawaii; request for information</a","2021/06/25","Flowering Plants"
"Polyscias flynnii","No common name","<div>Wherever found</div>","E","1","2010","2022/08/08","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Cyanea horrida","nui, haha","<div>Wherever found</div>","E","1","2013","2020/09/29","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Plagiobothrys hirtus","popcornflower, rough","<div>Wherever found</div>","E","1","2000","2021/04/14","Downlist to T","No Five Year Review In Progress","","Flowering Plants"
"Melicope degeneri","Alani","<div>Wherever found</div>","E","1","2010","2022/08/05","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Agave eggersiana","No common name","<div>Wherever found</div>","E","4","2014","2021/08/20","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Cyanea copelandii ssp. copelandii","Haha","<div>Wherever found</div>","E","1","1994","2020/03/02","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Hackelia venusta","Stickseed, showy","<div>Wherever found</div>","E","1","2002","2020/09/10","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Xantusia riversiana","Lizard, Island night","<div>Wherever found</div>","DM","8","1977","2012/10/05","Delist: The species does not meet the definition of an endangered species or a threatened species","No Five Year Review In Progress","","Reptiles"
"Lioplax cyclostomaformis","Lioplax, cylindrical (snail)","<div>Wherever found</div>","E","4","1998","2022/12/15","No change in Status","No Five Year Review In Progress","","Snails"
"Batrisodes texanus","Beetle, Coffin Cave mold","<div>Wherever found</div>","E","2","1988","2018/07/06","No change in Status","No Five Year Review In Progress","","Insects"
"Myotis septentrionalis","Bat, Northern long-eared","<div>Wherever found</div>","E","3","2015","2022/11/30","Uplist to E","No Five Year Review In Progress","","Mammals"
"Leopardus (=Felis) pardalis","Ocelot","<div>wherever found</div>","E","2","1972","2018/07/24","No change in Status","No Five Year Review In Progress","","Mammals"
"Melicope puberula","Alani","<div>Wherever found</div>","E","1","2010","2022/08/05","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Cyrtandra polyantha","Ha`iwale","<div>Wherever found</div>","E","1","1994","2019/09/25","No change in Status","<a target='_blank' href='https://www.govinfo.gov/link/fr/87/28031'>Initiation of 5- Year Status Reviews for 167 Species in Oregon Washington Idaho  Montana California Hawaii Guam and the Northern Mariana Islands: Request for Information</a","2022/05/10","Flowering Plants"
"Ranunculus hawaiensis","Makou","<div>Wherever found</div>","E","1","2016","2021/08/18","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Plethobasus cooperianus","Pimpleback, orangefoot (pearlymussel)","<div>Wherever found</div>","E","4","1976","2023/01/30","No change in Status","No Five Year Review In Progress","","Clams"
"Schiedea attenuata","No common name","<div>Wherever found</div>","E","1","2010","2022/08/09","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Cyanea kuhihewa","Haha","<div>Wherever found</div>","E","1","2010","2022/07/27","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Solidago spithamaea","Goldenrod, Blue Ridge","<div>Wherever found</div>","T","4","1985","2019/05/20","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Leavenworthia crassa","Gladecress, Fleshy-fruit","<div>Wherever found</div>","E","4","2014","2020/12/22","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Picoides borealis","Woodpecker, red-cockaded","<div>Wherever found</div>","E","4","1970","2020/10/08","Downlist to T","Reclassification of the Red-Cockaded Woodpecker From Endangered to Threatened With a Section 4(d) Rule","2020/10/08","Birds"
"Vigna o-wahuensis","No common name","<div>Wherever found</div>","E","1","1994","2020/09/30","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Leptoxis foremani","Rocksnail, interrupted (=Georgia)","<div>Wherever found</div>","E","4","2010","2020/03/24","No change in Status","No Five Year Review In Progress","","Snails"
"Chilabothrus granti","Boa, Virgin Islands tree","<div>Wherever found</div>","E","4","1970","2020/09/30","Downlist to T","Endangered and Threatened Wildlife and Plants; Reclassifying the Virgin Islands Tree Boa From Endangered to Threatened With a Section 4(d) Rule","2020/09/30","Reptiles"
"Polystichum calderonense","No common name","<div>Wherever found</div>","E","4","1993","2022/08/01","No change in Status","No Five Year Review In Progress","","Ferns and Allies"
"Emballonura semicaudata rotensis","Bat, Pacific sheath-tailed","<div>Wherever found</div>","E","1","2015","2020/09/29","No change in Status","No Five Year Review In Progress","","Mammals"
"Gila boraxobius","Chub, Borax Lake","<div>Wherever found</div>","DM","1","1980","2012/08/23","Downlist to T","No Five Year Review In Progress","","Fishes"
"Yermo xanthocephalus","Yellowhead, desert","<div>Wherever found</div>","T","6","2002","2020/02/13","No change in Status","Endangered and Threatened Wildlife and Plants; Initiation of 5-Year Status Reviews of 27 Listed Species in the Mountain-Prairie Region","2023/03/13","Flowering Plants"
"Schiedea membranacea","No common name","<div>Wherever found</div>","E","1","1996","2022/08/09","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Oenothera deltoides ssp. howellii","Evening-primrose, Antioch Dunes","<div>Wherever found</div>","E","8","1978","2020/08/26","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Dromus dromas","Pearlymussel, dromedary","<div>Wherever found; Except where listed as Experimental Populations</div>","E","4","1976","2020/04/29","No change in Status","No Five Year Review In Progress","","Clams"
"Camissonia benitensis","Evening-primrose, San Benito","<div>Wherever found</div>","DM","8","1985","2009/08/17","No change in Status","<a target='_blank' href='https://www.govinfo.gov/link/fr/83/28251?link-type=pdf'>Initiation of 5-Year Status Reviews of 50 Species in California Nevada and the Klamath Basin of Oregon</a","2018/06/18","Flowering Plants"
"Rorippa gambellii","Watercress, Gambel's","<div>Wherever found</div>","E","8","1993","2022/02/22","No change in Status","No Five Year Review In Progress","","Flowering Plants"
"Eurycea sosorum","Salamander, Barton Springs","<div>Wherever found</div>","E","2","1997","2019/09/12","No change in Status","No Five Year Review In Progress","","Amphibians"
"Notropis simus pecosensis","Shiner, Pecos bluntnose","<div>Wherever found</div>","T","2","1987","2020/08/31","No change in Status","No Five Year Review In Progress","","Fishes"
